cdm_name,result_type,group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Number subjects,NA,numeric,count,60032
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Number records,NA,NA,count,60032
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort start date,NA,date,min,2018-01-01
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort start date,NA,date,q05,2018-02-03
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort start date,NA,date,q25,2018-08-29
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort start date,NA,date,median,2019-07-18
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort start date,NA,date,q75,2020-08-03
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort start date,NA,date,q95,2021-08-27
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort start date,NA,date,max,2021-12-31
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort end date,NA,date,min,2018-01-01
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort end date,NA,date,q05,2018-05-06
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort end date,NA,date,q25,2019-03-09
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort end date,NA,date,median,2020-03-18
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort end date,NA,date,q75,2021-06-10
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort end date,NA,date,q95,2021-12-31
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Cohort end date,NA,date,max,2021-12-31
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Sex,Female,categorical,count,30539
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Sex,Female,categorical,percentage,50.8712020255864
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Sex,Male,categorical,count,29493
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Sex,Male,categorical,percentage,49.1287979744136
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,min,2
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,q05,39
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,q25,53
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,median,62
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,q75,71
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,q95,82
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,max,84
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,mean,61.6184201759062
PHARMETRICS,Summary characteristics,cohort_name,Simvastatin,Overall,Overall,Age,NA,numeric,sd,13.0377814158812
