analysis_id,n_persons,person_days,n_events,incidence_start_date,incidence_end_date,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_outcome_washout,analysis_repeated_events,analysis_interval,analysis_complete_database_intervals,denominator_cohort_id,analysis_min_cell_count,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,duration_range_min,duration_range_max,impute_duration,gap_era,prior_use_washout,prior_observation,cohort_date_range_start,cohort_date_range_end,limit,cdm_name
1,1560053,48361347,18,2018-01-01,2018-01-31,132406.1519507187,13.59453449466575,8.056982718121827,21.485225458493943,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1560600,43696166,7,2018-02-01,2018-02-28,119633.58247775496,5.851199851263838,2.352485809779355,12.055707990174227,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1564976,48513624,14,2018-03-01,2018-03-31,132823.0636550308,10.540338112032199,5.7625009284377375,17.684896339120005,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1497384,44920494,12,2018-04-01,2018-04-30,122985.60985626283,9.757239090024255,5.041707819287983,17.043933085078343,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1517137,47029977,15,2018-05-01,2018-05-31,128761.05954825462,11.649484753096946,6.520128183348049,19.214053502110374,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1523671,45709556,10,2018-06-01,2018-06-30,125145.94387405887,7.990670484745028,3.831837091706538,14.695127522890386,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1518922,47086100,10,2018-07-01,2018-07-31,128914.71594798083,7.757066310439811,3.7198148100232795,14.265521129052933,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1524771,47267444,7,2018-08-01,2018-08-31,129411.20876112251,5.40911414630332,2.174744427829927,11.144842475217814,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1538036,46140599,9,2018-09-01,2018-09-30,126326.07529089665,7.124419862863071,3.2577384264505014,13.524368118044698,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
1,1534560,47570761,14,2018-10-01,2018-10-31,130241.64544832306,10.74924994367864,5.876714970817458,18.03541489435169,FALSE,FALSE,1,simvastatin,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,1,Inf,none,30,0,NA,NA,NA,all,PHARMETRICS
