cdm_name,result_type,group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,number subjects,NA,numeric,count,60032
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,number records,NA,NA,count,60032
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,0 to 0,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,alirocumab,0 to 0,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,0 to 0,binary,count,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,fluvastatin,0 to 0,binary,percentage,0
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,0 to 0,binary,count,7
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,lovastatin,0 to 0,binary,percentage,0.011660447761194
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,0 to 0,binary,count,<5
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pitavastatin,0 to 0,binary,percentage,NA
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,0 to 0,binary,count,824
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,ezetimibe,0 to 0,binary,percentage,1.3726012793177
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,0 to 0,binary,count,26
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,rosuvastatin,0 to 0,binary,percentage,0.0433102345415778
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,0 to 0,binary,count,84
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,atorvastatin,0 to 0,binary,percentage,0.139925373134328
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,0 to 0,binary,count,17
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,pravastatin,0 to 0,binary,percentage,0.0283182302771855
PHARMETRICS,Summarise treatment,cohort_name,simvastatin,Overall,Overall,evolocumab,0 to 0,binary,count,0
