analysis_id,prevalence_start_date,prevalence_end_date,n_cases,n_population,prevalence,prevalence_95CI_lower,prevalence_95CI_upper,population_obscured,cases_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_type,analysis_interval,analysis_complete_database_intervals,analysis_time_point,analysis_full_contribution,analysis_min_cell_count,denominator_cohort_id,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,gap_era,cdm_name
1,2017-01-01,2017-01-31,1261,23894,0.05277475516866159,0.05001102386831074,0.05568226492402938,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-02-01,2017-02-28,1232,23680,0.05202702702702703,0.04927039515265391,0.054928979054083296,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-03-01,2017-03-31,1224,23480,0.05212947189097104,0.049358771671663956,0.05504669636558365,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-04-01,2017-04-30,1203,23432,0.05134004779788324,0.0485871589981716,0.05424001975088446,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-05-01,2017-05-31,1210,23450,0.05159914712153518,0.0488405170565539,0.054504662583906155,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-06-01,2017-06-30,1176,23127,0.0508496562459463,0.04809210990482917,0.053756388041721746,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-07-01,2017-07-31,1169,22914,0.051016845596578514,0.04824240589063799,0.05394180124896409,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-08-01,2017-08-31,1149,22987,0.04998477400269718,0.0472421698774423,0.052877761049990854,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-09-01,2017-09-30,1154,22780,0.05065847234416154,0.04788567215248126,0.05358279456763244,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-10-01,2017-10-31,1151,22737,0.05062233364120156,0.047847951142265116,0.05354853688990077,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,2017-11-01,2017-11-30,1132,22689,0.04989201815857905,0.04713445498831246,0.05280197046708971,FALSE,FALSE,FALSE,1,prevalent_simvastatin,period,months,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
